/* DATA DESCRIPTION:
Citation:	Rheinheimer, Gerhard (2011): Geochemistry of rivers in norther Germany. doi:10.1594/PANGAEA.761661
Abstract:	In den Jahren 1973 bis 1978 erfolgten umfangreiche mikrobiologische-ökologische Untersuchungen in der Elbe und in einigen kleineren Flüssen Schleswig-Holsteins sowie im Nordostseekanal. In diesem Zusammenhang wurden verschiedene bateriologische und eine Reihe von hydrographisch-chemischen Parametern bestimmt. Die Daten geben Auskunft über den bakteriologischen Zustand der Gewässer in Abhängigkeit von Schwankungen der wichtigsten hydrographischen Faktoren insbsosondere der Temperatur und Wasserführung. Weiter ermöglichen sie Aussagen über die Abwasserbelastung der untersuchten Flüsse.
Related to:	Rheinheimer, Gerhard (1979): Mikrobiologisch-ökologische Untersuchungen in verschiedenen Flüssen Schleswig-Holsteins - Zusammenstellung der Daten. Berichte aus dem Institut für Meereskunde an der Christian-Albrechts Universität Kiel, 67, 105 pp, hdl:10013/epic.37665.d001
Coverage:	MEDIAN LATITUDE: 53.749713 * MEDIAN LONGITUDE: 9.574630 * SOUTH-BOUND LATITUDE: 53.500000 * WEST-BOUND LONGITUDE: 9.000000 * NORTH-BOUND LATITUDE: 54.420000 * EAST-BOUND LONGITUDE: 10.640000
	DATE/TIME START: 1973-04-30T00:00:00 * DATE/TIME END: 1978-12-05T00:00:00
	MINIMUM DEPTH, water: 1.0 m * MAXIMUM DEPTH, water: 10.0 m
Parameter(s):	Geographic name/locality (Locality) * PI: Rheinheimer, Gerhard
	LATITUDE (Latitude) * GEOCODE
	LONGITUDE (Longitude) * GEOCODE
	DATE/TIME (Date/Time) * GEOCODE
	DEPTH, water [m] (Depth water) * GEOCODE
	Bacteria (Bact) * PI: Rheinheimer, Gerhard * COMMENT: Pepton-Hefeextrakt-Agar mit Süßwasser, 14 Tage, 20°C, Koloniezahl je ml Wasser [#/ml|
	Bacteria (Bact) * PI: Rheinheimer, Gerhard * COMMENT: Pepton-Hefeextrakt-Agar mit 8 per mil Salzgehalt, 14 Tage, 20°C, Koloniezahl je ml Wasser [#/ml|
	Bacteria (Bact) * PI: Rheinheimer, Gerhard * COMMENT: Pepton-Fleischextrakt-Agar (Nähragar), 14 Tage, 25°C, Koloniezahl je ml Wasser [#/ml|
	Bacteria (Bact) * PI: Rheinheimer, Gerhard * COMMENT: Pepton-Fleischextrakt-Agar (DEV), 2 Tage, 25°C, Koloniezahl je ml Wasser [#/ml|
	Bacteria (Bact) * PI: Rheinheimer, Gerhard * COMMENT: Extram halotolerant, Pepton-Hefeextrakt-Agar mit 125 per mil Salzgehalt, 14 Tage, 20°C, Koloniezahl je ml Wasser [#/ml|
	Bacteria (Bact) * PI: Rheinheimer, Gerhard * COMMENT: Coliforme, Dreifarbenagar nach Gassner und Endo-Nährkartonscheiben (Metallglanz), 48 Stunden, 37°C, Bakterien je ml Wasser [#/ml]
	Bacteria (Bact) * PI: Rheinheimer, Gerhard * COMMENT: Fäkale Streptokokken auf Tryptose-Agar, 48 Stunden, 37°C [#/ml]
	Nitrogen in ammonia [mg/l] (N-[NH4]+) * PI: Rheinheimer, Gerhard
	Nitrogen in nitrite [mg/l] (N-[NO2]-) * PI: Rheinheimer, Gerhard
	Nitrogen in nitrate [mg/l] (N-[NO3]-) * PI: Rheinheimer, Gerhard
	Phosphate [µg/l] (PO4) * PI: Rheinheimer, Gerhard
	Chloride [mg/l] (Cl-) * PI: Rheinheimer, Gerhard
	Oxygen [µmol/l] (O2) * PI: Rheinheimer, Gerhard
	Seston, dry mass [mg/l] (Sest dm) * PI: Rheinheimer, Gerhard
	Temperature, water [°C] (Temp) * PI: Rheinheimer, Gerhard
	Salinity (Sal) * PI: Rheinheimer, Gerhard
	- (-) * PI: Rheinheimer, Gerhard * COMMENT: BSB7 biologischer Sauerstoffbedarf nach 7 Tagen [mg/l]
	- (-) * PI: Rheinheimer, Gerhard * COMMENT: KMnO4 chemischer Sauerstoffbedarf, Kaliumpermanganatverbrauch [mg/l]
	- (-) * PI: Rheinheimer, Gerhard * COMMENT: Pegel
	River discharge, daily mean [m**3/s] (Q day mean) * PI: Rheinheimer, Gerhard
License:	Creative Commons Attribution 3.0 Unported (CC-BY)
Size:	13001 data points
*/
Locality	Latitude	Longitude	Date/Time	Depth water [m]	Bact (Pepton-Hefeextrakt-Agar mit S...)	Bact (Pepton-Hefeextrakt-Agar mit 8...)	Bact (Pepton-Fleischextrakt-Agar (N...)	Bact (Pepton-Fleischextrakt-Agar (D...)	Bact (Extram halotolerant, Pepton-H...)	Bact (Coliforme, Dreifarbenagar nac...)	Bact (Fäkale Streptokokken auf Tryp...)	N-[NH4]+ [mg/l]	N-[NO2]- [mg/l]	N-[NO3]- [mg/l]	PO4 [µg/l]	Cl- [mg/l]	O2 [µmol/l]	Sest dm [mg/l]	Temp [°C]	Sal	- (BSB7 biologischer Sauerstoffb...)	- (KMnO4 chemischer Sauerstoffbe...)	- (Pegel)	Q day mean [m**3/s]
Elbe, km 569	53.50	9.80	1973-08-28T00:00	1	114000	69100	42600		15	30		4.090	0.056	0.295	594.7	290		3.00						251
Elbe, km 572	53.50	9.80	1973-08-28T00:00	1	109000	46100	42100		11	33		4.186	0.072	0.278	364.8	290		20.00	20.7					
Elbe, km 574	53.50	9.80	1973-08-28T00:00	1	79000	49000	45900		6	38		4.051	0.034	0.262	475.0	290		0.05						
Elbe, km 579	53.50	9.80	1973-08-28T00:00	1	86000	85000	42500		33	47		3.725	0.158	0.285	520.6	290		7.00						
Elbe, km 580	53.50	9.80	1973-08-28T00:00	1	75000	66000	41500		8	43		3.667	0.130	0.349	13.3	290		17.00						
Elbe, km 581	53.50	9.80	1973-08-28T00:00	1	586000	80000	53000		10	42		3.898	0.118	0.267	387.6	290		16.00						
Elbe, km 586	53.50	9.80	1973-08-28T00:00	1	63200	81000	82000		15	57		3.841	0.144	0.308	486.4	290		14.60	20.6					
Elbe, km 569	53.50	9.80	1973-09-11T00:00	1	42200	87000	38700		12	252		4.800	0.070	0.195	739.1	290		35.00						246
Elbe, km 574	53.50	9.80	1973-09-11T00:00	1	30100	55600	24000		8	660		4.512	0.094	0.241	484.5	290		19.00	18.5					
Elbe, km 579	53.50	9.80	1973-09-11T00:00	1	79800	90200	61000		19	510		4.800	0.118	0.190	315.4	290		10.00						
Elbe, km 581	53.50	9.80	1973-09-11T00:00	1	19900	36200	44000		5	542		4.838	0.086	0.196	427.5	290		25.00						
Elbe, km 583	53.50	9.80	1973-09-11T00:00	1	28800	47000	34100		9	270		3.734	0.123	0.131	537.7	290		240.00						
Elbe, km 586	53.50	9.80	1973-09-11T00:00	1	40900	61700	46500		18	330		3.744	0.122	0.198	566.2	290		30.00	18.5					
Elbe, Kanal 1	53.50	9.80	1973-09-11T00:00	1	24900	46000	32700		22	263		5.472	0.140	0.172	467.4	290		24.00						
Elbe, Kanal 2	53.50	9.80	1973-09-11T00:00	1	20500	51900	37900		11	390		4.262	0.123	0.216	484.5	290		17.00						
Elbe, km 569	53.50	9.80	1973-10-02T00:00	1	142000	152400	59500		24	170		5.400	0.039	0.817	299.0	290		35.75						261
Elbe, km 574	53.50	9.80	1973-10-02T00:00	1	69600	105600	21400		5	70		5.200	0.049	0.778	299.0	290		26.66	12.7					
Elbe, km 579	53.50	9.80	1973-10-02T00:00	1	134000	140000	48000		87	80		5.120	0.065	0.865	299.0	290		18.45	12.8					
Elbe, km 581	53.50	9.80	1973-10-02T00:00	1	83000	130000	51000		24	65		5.480	0.049	0.874	292.5	290		17.90						
Elbe, km 583	53.50	9.80	1973-10-02T00:00	1	83100	124800	46700		15	85		5.310	0.055	0.868	304.2	290		19.99						
Elbe, km 586	53.50	9.80	1973-10-02T00:00	1	114800	133600	66600		30	230		6.000	0.081	0.782	338.0	290		5.99	13.0					
Elbe, Kanal 1	53.50	9.80	1973-10-02T00:00	1	75800	120000	79400		24	505		5.060	0.062	0.758	312.0	290		16.66						
Elbe, Kanal 2	53.50	9.80	1973-10-02T00:00	1					38	355		5.200	0.068	0.784	371.8	290		66.66						
Elbe, km 569	53.50	9.80	1973-11-13T00:00	1	137400	60000	7000		88	140		5.547	0.016	0.922	221.4	290		34.00						357
Elbe, km 574	53.50	9.80	1973-11-13T00:00	1	166000	75400	14800		75	125		6.190	0.013	1.177	279.1	290		20.00	6.7					
Elbe, km 579	53.50	9.80	1973-11-13T00:00	1	148000	81200	27200		82	145		6.660	0.013	1.114	269.5	290		370.00	6.6					
Elbe, km 581	53.50	9.80	1973-11-13T00:00	1	172400	87200	20500		26	135		6.613	0.023	1.517	231.0	290		220.00						
Elbe, km 583	53.50	9.80	1973-11-13T00:00	1	176000	84800	20400		60	100		6.671	0.016	1.574	192.5	290		15.00						
Elbe, km 586	53.50	9.80	1973-11-13T00:00	1	198000	140000	45000		70	210		6.360	0.016	1.495	250.3	290		18.00						
Elbe, Kanal 1	53.50	9.80	1973-11-13T00:00	1	176000	139200	31400		54	415		6.192	0.027	1.754	192.5	290		8.00						
Elbe, Kanal 2	53.50	9.80	1973-11-13T00:00	1	202000	172000	41600		45	410		6.230	0.022	1.698	192.5	290		14.00						
Elbe, km 569	53.50	9.80	1973-12-06T00:00	1	77300	115600	42600		175	205		1.040	0.060	1.770	187.5	290		49.50						361
Elbe, km 574	53.50	9.80	1973-12-06T00:00	1	46400	67800	27900		96	195		1.067	0.088	1.802	145.0	290		40.00	0.8					
Elbe, km 579	53.50	9.80	1973-12-06T00:00	1	47700	92700	34000		106	100		1.120	0.080	1.780	147.5	290		36.90	0.6					
Elbe, km 581	53.50	9.80	1973-12-06T00:00	1	45100	109600	33000		75	245		1.300	0.096	1.794	147.5	290		43.10						
Elbe, km 583	53.50	9.80	1973-12-06T00:00	1	27800	69900	38000		67	120		0.987	0.070	1.700	152.5	290		285.70						
Elbe, km 586	53.50	9.80	1973-12-06T00:00	1	48800	105400	37700		76	290		1.267	0.079	1.833	142.5	290		30.00						
